iter	Passed	Remaining
191	2761	11622
192	2776	11607
193	2789	11591
194	2803	11574
195	2817	11558
196	2832	11543
197	2846	11529
198	2860	11515
199	2874	11498
200	2888	11482
201	2902	11467
202	2916	11452
203	2931	11437
204	2945	11424
205	2959	11407
206	2973	11391
207	2987	11377
208	3002	11362
209	3016	11346
210	3030	11331
211	3044	11315
212	3058	11300
213	3073	11287
214	3087	11274
215	3102	11260
216	3116	11245
217	3130	11228
218	3143	11212
219	3158	11198
220	3172	11183
221	3186	11167
222	3200	11153
223	3215	11138
224	3229	11124
225	3243	11109
226	3258	11095
227	3272	11080
228	3286	11064
229	3300	11048
230	3314	11033
231	3328	11019
232	3342	11002
233	3356	10988
234	3370	10973
235	3385	10959
236	3399	10945
237	3413	10930
238	3427	10914
239	3442	10899
240	3456	10885
241	3471	10872
242	3484	10855
243	3498	10838
244	3512	10823
245	3525	10806
246	3539	10791
247	3552	10772
248	3566	10757
249	3580	10741
250	3594	10727
251	3608	10711
252	3622	10696
253	3635	10678
254	3649	10661
255	3662	10644
256	3675	10626
257	3689	10610
258	3703	10596
259	3718	10582
260	3732	10568
261	3746	10553
262	3761	10540
263	3774	10522
264	3788	10506
265	3802	10492
266	3815	10475
267	3828	10457
268	3841	10438
269	3855	10424
270	3868	10406
271	3881	10388
272	3894	10370
273	3907	10352
274	3920	10335
275	3933	10319
276	3948	10305
277	3962	10290
278	3974	10272
279	3988	10255
280	4001	10238
281	4014	10221
282	4028	10205
283	4042	10191
284	4056	10177
285	4069	10159
286	4082	10143
287	4095	10125
288	4108	10108
289	4122	10093
290	4136	10079
291	4150	10063
292	4163	10046
293	4177	10031
294	4191	10016
295	4204	9998
296	4217	9983
297	4230	9966
298	4245	9952
299	4259	9938
300	4273	9925
301	4287	9910
302	4300	9892
303	4313	9875
304	4326	9858
305	4340	9844
306	4354	9830
307	4367	9813
308	4381	9797
309	4394	9781
310	4407	9765
311	4420	9748
312	4433	9731
313	4446	9715
314	4460	9698
315	4472	9681
316	4485	9664
317	4498	9647
318	4511	9630
319	4524	9614
320	4537	9597
321	4550	9581
322	4563	9565
323	4576	9549
324	4589	9532
325	4603	9516
326	4616	9501
327	4629	9485
328	4643	9469
329	4656	9453
330	4669	9437
331	4682	9422
332	4696	9406
333	4708	9389
334	4722	9374
335	4735	9358
336	4748	9341
337	4761	9326
338	4774	9309
339	4787	9294
340	4800	9278
341	4814	9262
342	4827	9246
343	4840	9230
344	4853	9215
345	4867	9200
346	4880	9184
347	4894	9169
348	4907	9154
349	4920	9138
350	4933	9121
351	4946	9105
352	4959	9090
353	4972	9073
354	4985	9058
355	4999	9043
356	5012	9027
357	5025	9012
358	5038	8996
359	5052	8981
360	5065	8967
361	5079	8952
362	5092	8936
363	5106	8923
364	5120	8908
365	5134	8893
366	5147	8878
367	5160	8862
368	5174	8847
369	5187	8832
370	5200	8816
371	5213	8800
372	5225	8784
373	5239	8769
374	5252	8753
375	5265	8738
376	5278	8722
377	5291	8706
378	5304	8691
379	5317	8675
380	5330	8660
381	5343	8644
382	5356	8629
383	5369	8613
384	5382	8598
385	5395	8582
386	5408	8567
387	5422	8552
388	5435	8537
389	5448	8522
390	5462	8508
391	5477	8495
392	5489	8479
393	5504	8466
394	5517	8451
395	5531	8436
396	5545	8423
397	5558	8407
398	5571	8392
399	5585	8378
400	5599	8364
401	5613	8350
402	5627	8336
403	5641	8322
404	5655	8308
405	5668	8293
406	5681	8278
407	5694	8262
408	5707	8247
409	5721	8232
410	5734	8217
411	5747	8202
412	5760	8187
413	5773	8172
414	5787	8157
415	5800	8143
416	5814	8128
417	5828	8115
418	5842	8101
419	5856	8087
420	5869	8072
421	5883	8058
422	5897	8044
423	5910	8029
424	5924	8015
425	5937	8000
426	5951	7986
427	5964	7971
428	5977	7956
429	5991	7942
430	6004	7927
431	6018	7912
432	6031	7897
433	6044	7883
434	6058	7868
435	6071	7854
436	6084	7839
437	6098	7824
438	6111	7809
439	6124	7794
440	6137	7779
441	6150	7764
442	6163	7750
443	6177	7735
444	6190	7720
445	6203	7705
446	6216	7690
447	6229	7676
448	6243	7661
449	6256	7646
450	6269	7632
451	6282	7617
452	6296	7602
453	6309	7588
454	6322	7573
455	6336	7559
456	6349	7544
457	6362	7529
458	6376	7515
459	6389	7500
460	6402	7486
461	6416	7471
462	6429	7457
463	6443	7443
464	6456	7428
465	6472	7416
466	6489	7406
467	6505	7395
468	6520	7382
469	6533	7367
470	6547	7353
471	6560	7339
472	6574	7324
473	6587	7310
474	6601	7295
475	6614	7281
476	6627	7266
477	6640	7252
478	6654	7237
479	6667	7223
480	6681	7209
481	6694	7194
482	6707	7179
483	6720	7165
484	6734	7150
485	6747	7135
486	6760	7121
487	6773	7106
488	6787	7092
489	6800	7077
490	6813	7063
491	6826	7048
492	6839	7034
493	6852	7019
494	6866	7004
495	6879	6990
496	6892	6975
497	6909	6965
498	6925	6953
499	6938	6938
500	6952	6924
501	6965	6909
502	6978	6895
503	6991	6880
504	7005	6866
505	7018	6852
506	7032	6837
507	7045	6823
508	7059	6809
509	7072	6795
510	7085	6780
511	7099	6766
512	7112	6751
513	7125	6737
514	7139	6723
515	7152	6709
516	7166	6695
517	7179	6680
518	7193	6666
519	7206	6652
520	7219	6637
521	7232	6623
522	7246	6609
523	7259	6594
524	7273	6581
525	7287	6567
526	7302	6554
527	7315	6539
528	7328	6524
529	7341	6510
530	7354	6495
531	7367	6480
532	7381	6467
533	7395	6453
534	7409	6439
535	7422	6425
536	7435	6410
537	7449	6396
538	7462	6382
539	7476	6369
540	7490	6355
541	7504	6341
542	7518	6327
543	7531	6312
544	7546	6299
545	7559	6285
546	7572	6270
547	7584	6255
548	7598	6242
549	7612	6228
550	7625	6213
551	7638	6199
552	7652	6185
553	7665	6171
554	7679	6157
555	7692	6143
556	7705	6128
557	7718	6114
558	7731	6099
559	7744	6084
560	7757	6070
561	7769	6055
562	7783	6041
563	7797	6027
564	7810	6013
565	7823	5998
566	7837	5985
567	7850	5971
568	7863	5956
569	7877	5942
570	7889	5927
571	7902	5913
572	7915	5898
573	7929	5884
574	7942	5870
575	7955	5856
576	7970	5842
577	7983	5829
578	8000	5817
579	8013	5803
580	8026	5788
581	8039	5774
582	8052	5759
583	8065	5745
584	8078	5731
585	8091	5716
586	8104	5702
587	8116	5687
588	8129	5672
589	8142	5658
590	8155	5643
591	8168	5629
592	8181	5615
593	8194	5601
594	8207	5586
595	8220	5572
596	8233	5558
597	8246	5543
598	8259	5529
599	8272	5514
600	8285	5500
601	8298	5486
602	8311	5472
603	8325	5458
604	8337	5443
605	8350	5429
606	8363	5415
607	8376	5400
608	8389	5386
609	8402	5372
610	8415	5357
611	8428	5343
612	8441	5329
613	8454	5314
614	8467	5300
615	8479	5286
616	8492	5271
617	8506	5258
618	8520	5244
619	8533	5230
620	8546	5215
621	8559	5201
622	8571	5187
623	8584	5172
624	8597	5158
625	8610	5144
626	8623	5130
627	8636	5115
628	8649	5101
629	8662	5087
630	8675	5073
631	8688	5058
632	8701	5044
633	8713	5030
634	8726	5016
635	8739	5001
636	8752	4987
637	8765	4973
638	8778	4959
639	8791	4945
640	8804	4930
641	8816	4916
642	8829	4902
643	8843	4888
644	8856	4874
645	8869	4860
646	8882	4846
647	8895	4831
648	8908	4817
649	8920	4803
650	8933	4789
651	8946	4775
652	8958	4760
653	8971	4746
654	8985	4732
655	8997	4718
656	9010	4704
657	9023	4690
658	9036	4676
659	9049	4661
660	9063	4648
661	9075	4633
662	9089	4620
663	9102	4606
664	9116	4592
665	9129	4578
666	9143	4564
667	9156	4550
668	9169	4536
669	9182	4522
670	9195	4508
671	9208	4494
672	9220	4480
673	9234	4466
674	9247	4452
675	9260	4438
676	9273	4424
677	9286	4410
678	9299	4396
679	9312	4382
680	9325	4368
681	9338	4354
682	9351	4340
683	9364	4326
684	9377	4312
685	9390	4298
686	9403	4284
687	9416	4270
688	9429	4256
689	9442	4242
690	9455	4228
691	9468	4214
692	9481	4200
693	9495	4186
694	9508	4172
695	9521	4158
696	9534	4144
697	9548	4131
698	9561	4117
699	9574	4103
700	9587	4089
701	9600	4075
702	9614	4062
703	9629	4048
704	9643	4035
705	9657	4021
706	9672	4008
707	9685	3994
708	9698	3980
709	9711	3966
710	9723	3952
711	9738	3938
712	9751	3925
713	9764	3911
714	9777	3897
715	9790	3883
716	9804	3869
717	9817	3855
718	9830	3841
719	9843	3827
720	9855	3813
721	9868	3799
722	9881	3785
723	9894	3771
724	9907	3758
725	9920	3744
726	9933	3730
727	9946	3716
728	9959	3702
729	9972	3688
730	9985	3674
731	9998	3660
732	10010	3646
733	10023	3632
734	10036	3618
735	10049	3604
736	10062	3590
737	10075	3577
738	10088	3563
739	10101	3549
740	10114	3535
741	10127	3521
742	10140	3507
743	10153	3493
744	10167	3480
745	10179	3465
746	10192	3452
747	10205	3438
748	10218	3424
749	10230	3410
750	10243	3396
751	10256	3382
752	10269	3368
753	10281	3354
754	10294	3340
755	10308	3326
756	10321	3313
757	10333	3299
758	10346	3285
759	10359	3271
760	10373	3257
761	10386	3244
762	10398	3230
763	10411	3216
764	10424	3202
765	10437	3188
766	10450	3174
767	10462	3160
768	10477	3147
769	10490	3133
770	10503	3119
771	10515	3105
772	10529	3092
773	10542	3078
774	10555	3064
775	10568	3050
776	10581	3036
777	10594	3023
778	10607	3009
779	10620	2995
780	10633	2981
781	10646	2968
782	10659	2954
783	10672	2940
784	10685	2926
785	10698	2912
786	10711	2899
787	10724	2885
788	10737	2871
789	10750	2857
790	10763	2843
791	10776	2830
792	10790	2816
793	10803	2802
794	10816	2789
795	10829	2775
796	10842	2761
797	10855	2747
798	10868	2734
799	10881	2720
800	10894	2706
801	10907	2692
802	10920	2679
803	10933	2665
804	10945	2651
805	10958	2637
806	10971	2623
807	10984	2610
808	10997	2596
809	11010	2582
810	11024	2569
811	11036	2555
812	11049	2541
813	11062	2527
814	11075	2514
815	11088	2500
816	11100	2486
817	11113	2472
818	11126	2459
819	11139	2445
820	11152	2431
821	11165	2417
822	11178	2404
823	11190	2390
824	11203	2376
825	11216	2362
826	11229	2349
827	11242	2335
828	11255	2321
829	11268	2308
830	11281	2294
831	11294	2280
832	11307	2266
833	11320	2253
834	11333	2239
835	11346	2225
836	11359	2212
837	11372	2198
838	11385	2184
839	11398	2171
840	11411	2157
841	11424	2143
842	11437	2130
843	11450	2116
844	11463	2102
845	11476	2089
846	11489	2075
847	11502	2061
848	11515	2048
849	11528	2034
850	11541	2020
851	11554	2007
852	11567	1993
853	11580	1979
854	11593	1966
855	11606	1952
856	11619	1938
857	11632	1925
858	11645	1911
859	11658	1897
860	11671	1884
861	11684	1870
862	11697	1856
863	11710	1843
864	11723	1829
865	11736	1815
866	11748	1802
867	11761	1788
868	11774	1775
869	11787	1761
870	11800	1747
871	11813	1734
872	11826	1720
873	11839	1706
874	11853	1693
875	11866	1679
876	11879	1666
877	11892	1652
878	11905	1638
879	11918	1625
880	11931	1611
881	11944	1598
882	11957	1584
883	11970	1570
884	11983	1557
885	11996	1543
886	12009	1529
887	12022	1516
888	12035	1502
889	12048	1489
890	12061	1475
891	12073	1461
892	12087	1448
893	12100	1434
894	12113	1421
895	12126	1407
896	12139	1393
897	12152	1380
898	12164	1366
899	12177	1353
900	12190	1339
901	12203	1325
902	12216	1312
903	12229	1298
904	12242	1285
905	12255	1271
906	12268	1257
907	12282	1244
908	12294	1230
909	12307	1217
910	12320	1203
911	12334	1190
912	12347	1176
913	12360	1163
914	12373	1149
915	12386	1135
916	12399	1122
917	12412	1108
918	12425	1095
919	12438	1081
920	12451	1068
921	12463	1054
922	12476	1040
923	12489	1027
924	12502	1013
925	12515	1000
926	12528	986
927	12541	973
928	12554	959
929	12567	945
930	12580	932
931	12593	918
932	12606	905
933	12618	891
934	12631	878
935	12644	864
936	12657	851
937	12670	837
938	12682	823
939	12695	810
940	12708	796
941	12721	783
942	12734	769
943	12747	756
944	12759	742
945	12772	729
946	12785	715
947	12798	702
948	12811	688
949	12824	674
950	12837	661
951	12850	647
952	12863	634
953	12876	620
954	12889	607
955	12902	593
956	12914	580
957	12927	566
958	12940	553
959	12953	539
960	12966	526
961	12979	512
962	12991	499
963	13004	485
964	13017	472
965	13030	458
966	13043	445
967	13056	431
968	13070	418
969	13082	404
970	13095	391
971	13108	377
972	13121	364
973	13134	350
974	13147	337
975	13159	323
976	13172	310
977	13185	296
978	13198	283
979	13211	269
980	13224	256
981	13237	242
982	13250	229
983	13262	215
984	13275	202
985	13288	188
986	13301	175
987	13314	161
988	13327	148
989	13340	134
990	13353	121
991	13365	107
992	13378	94
993	13391	80
994	13404	67
995	13417	53
996	13430	40
997	13443	26
998	13455	13
999	13468	0
