iter	Logloss
0	0.61011603
1	0.5187208308
2	0.4615177399
3	0.400677496
4	0.3572160178
5	0.3235143363
6	0.292690652
7	0.2615401547
8	0.2394463685
9	0.221455256
10	0.202546426
11	0.186717493
12	0.1718470131
13	0.160363711
14	0.1499394723
15	0.1395752815
16	0.1291609893
17	0.119825292
18	0.1126299405
19	0.1051872909
20	0.09854335372
21	0.09326557051
22	0.08753569075
23	0.08318299347
24	0.07910033272
25	0.07480459994
26	0.07141874442
27	0.06654902705
28	0.06367375892
29	0.06025960922
30	0.0571524005
31	0.05441715145
32	0.05132938656
33	0.0486852697
34	0.04623103698
35	0.04420140009
36	0.04233318539
37	0.04052266483
38	0.03914603449
39	0.03772416115
40	0.03625370616
41	0.03458592807
42	0.03327170379
43	0.0320302059
44	0.03083419695
45	0.02999089574
46	0.02892754165
47	0.02827910988
48	0.02712191031
49	0.02604985445
50	0.02520064662
51	0.02424230332
52	0.02347384551
53	0.0229484154
54	0.02235916824
55	0.02161555716
56	0.02104350128
57	0.02042962744
58	0.0198615045
59	0.01935375733
60	0.01901942073
61	0.01862484391
62	0.01834881356
63	0.01782832528
64	0.01754413133
65	0.0172579378
66	0.01693368588
67	0.01645384896
68	0.0159308535
69	0.01553526916
70	0.01524490848
71	0.01489714673
72	0.01458491003
73	0.01427084382
74	0.01406425815
75	0.0137893124
76	0.01359999865
77	0.0133282926
78	0.01315005485
79	0.0128945248
80	0.01274871362
81	0.01257499192
82	0.01240287847
83	0.01228124842
84	0.01212845358
85	0.01197750754
86	0.01182625744
87	0.01165828752
88	0.0115142536
89	0.01133318515
90	0.01110948058
91	0.01096936198
92	0.01080271207
93	0.01067217471
94	0.01055945049
95	0.01045608673
96	0.0103486339
97	0.01018111886
98	0.009990994476
99	0.009809406853
100	0.009718533718
101	0.009558513034
102	0.00933348039
103	0.009213890476
104	0.009080108121
105	0.008965183486
106	0.008774825687
107	0.008663527866
108	0.008500377541
109	0.00843087946
110	0.008299947286
111	0.008212406863
112	0.008171231951
113	0.008099029407
114	0.007948058463
115	0.007753581317
116	0.007529583737
117	0.007473082422
118	0.007366317332
119	0.007283443163
120	0.007141415612
121	0.007072626706
122	0.006991686374
123	0.006925516265
124	0.006871060075
125	0.006739515838
126	0.006657152248
127	0.006588848199
128	0.006495648264
129	0.006429663281
130	0.006270272168
131	0.006185173062
132	0.006109237606
133	0.006082557622
134	0.006008347803
135	0.005920883507
136	0.005845931235
137	0.00575991784
138	0.0057025944
139	0.005664608969
